Kind of Business,Jan 1992,Feb 1992,Mar 1992,Apr 1992,May 1992,Jun 1992,Jul 1992,Aug 1992,Sep 1992,Oct 1992,Nov 1992,Dec 1992,Total
"Retail and food services sales, total",146376,147079,159336,163669,170068,168663,169890,170364,164617,173655,171547,208838,2014102.0
Retail sales and food services excl motor vehicle and parts,116565,115862,124200,127587,133608,130274,132076,134928,128734,136917,139187,175771,1595709.0
Retail sales and food services excl gasoline stations,134277,135499,147064,151226,156619,155236,156016,156539,151477,159992,158483,195350,1857778.0
Retail sales and food services excl motor vehicle and parts and gasoline stations,104466,104282,111928,115144,120159,116847,118202,121103,115594,123254,126123,162283,1439385.0
"Retail sales, total",130683,131244,142488,147175,152420,151849,152586,152476,148158,155987,154824,191347,1811237.0
"Retail sales, total (excl. motor vehicle and parts dealers)",100872,100027,107352,111093,115960,113460,114772,117040,112275,119249,122464,158280,1392844.0
GAFO(1),33906,35220,38731,40548,42213,40990,40956,44642,41474,44896,51222,78590,533388.0
Motor vehicle and parts dealers,29811,31217,35136,36082,36460,38389,37814,35436,35883,36738,32360,33067,418393.0
Automobile and other motor vehicle dealers,26788,28203,31684,32547,32883,34667,34077,31809,32337,32947,28908,29620,376470.0
Automobile dealers,25800,27031,30195,30583,31095,32798,32185,30139,30965,31578,27838,28237,358444.0
New car dealers,24056,25041,28018,27982,28924,30591,29934,28052,28949,29429,26171,26654,333801.0
Used car dealers,1744,1990,2177,2601,2171,2207,2251,2087,2016,2149,1667,1583,24643.0
"Automotive parts, acc., and tire stores",3023,3014,3452,3535,3577,3722,3737,3627,3546,3791,3452,3447,41923.0
"Furniture, home furn, electronics, and appliance stores",7503,7398,7826,7668,7846,8145,8337,8263,8123,8511,9106,12301,101027.0
Furniture and home furnishings stores,3846,3908,4157,4141,4275,4357,4407,4446,4328,4497,4687,5287,52336.0
Furniture stores,2392,2460,2607,2525,2605,2604,2627,2639,2611,2665,2768,3049,31552.0
Home furnishings stores,1454,1448,1550,1616,1670,1753,1780,1807,1717,1832,1919,2238,20784.0
Floor covering stores,728,731,851,899,856,950,904,917,916,977,940,928,10597.0
All other home furnishings stores,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),
Electronics and appliance stores,3657,3490,3669,3527,3571,3788,3930,3817,3795,4014,4419,7014,48691.0
Household appliance stores,601,576,631,643,662,746,764,727,682,732,753,920,8437.0
Electronics stores,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),
Building mat. and garden equip. and supplies dealers,8964,9023,10608,11630,12327,12219,11658,11219,11309,11605,10156,10271,130989.0
Building mat. and supplies dealers,7637,7567,8718,9330,9731,10178,9981,9742,9813,10018,8835,8765,110315.0
Paint and wallpaper stores,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),
Hardware stores,842,818,958,1073,1232,1165,1142,1081,1053,1105,1037,1164,12670.0
Food and beverage stores,29589,28570,29682,30228,31677,30769,32402,31469,30162,31407,30388,34170,370513.0
Grocery stores,27306,26223,27235,27588,28883,28039,29479,28645,27475,28583,27620,30294,337370.0
Supermarkets and other grocery (except convenience) stores,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),
"Beer, wine, and liquor stores",1509,1541,1597,1675,1822,1775,1912,1862,1770,1882,1831,2511,21687.0
Health and personal care stores,7258,7150,7413,7531,7488,7387,7277,7313,7071,7467,7115,9235,89705.0
Pharmacies and drug stores,6358,6284,6420,6573,6491,6342,6236,6280,6074,6439,6175,8119,77791.0
Gasoline stations,12099,11580,12272,12443,13449,13427,13874,13825,13140,13663,13064,13488,156324.0
Clothing and clothing access. stores,6938,7524,8475,9401,9558,9182,9103,10513,9573,10254,11187,18395,120103.0
Clothing stores,4852,5159,6024,6682,6768,6534,6551,7486,6878,7514,8201,12721,85370.0
Men's clothing stores,701,658,731,816,856,853,714,777,762,841,913,1557,10179.0
Women's clothing stores,1873,1991,2403,2665,2752,2424,2373,2657,2560,2755,2946,4416,31815.0
Family clothing stores,1649,1864,2152,2438,2412,2516,2653,3046,2687,2993,3399,5337,33146.0
Other clothing stores,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),
Shoe stores,1206,1265,1463,1675,1560,1498,1449,1838,1578,1529,1516,2039,18616.0
Jewelry stores,796,1021,912,969,1171,1094,1037,1089,1034,1122,1364,3436,15045.0
"Sporting goods, hobby, musical instrument, and book stores",3023,2806,3040,3150,3175,3240,3224,3586,3409,3329,3851,7133,42966.0
Sporting goods stores,972,1100,1214,1267,1293,1334,1340,1377,1206,1120,1207,2153,15583.0
"Hobby, toy, and game stores",620,585,643,706,660,721,678,653,638,789,1332,3226,11251.0
Book stores,790,539,535,523,552,589,592,894,861,645,642,1165,8327.0
General merchandise stores,14996,16015,17984,18872,20037,18812,18575,20518,18700,20970,25024,37373,247876.0
Department stores,10306,11251,12917,13461,14286,13354,13101,14783,13323,14961,18128,27218,177089.0
Department stores(excl. discount department stores),4818,5347,6262,6417,6636,6163,6025,7145,6461,7082,8996,13801,85153.0
Discount dept. stores,5488,5904,6655,7044,7650,7191,7076,7638,6862,7879,9132,13417,91936.0
Other general merchandise stores,4690,4764,5067,5411,5751,5458,5474,5735,5377,6009,6896,10155,70787.0
Warehouse clubs and superstores,2579,2615,2838,2984,3257,3107,3097,3288,3078,3429,4013,5740,40025.0
All other gen. merchandise stores,2111,2149,2229,2427,2494,2351,2377,2447,2299,2580,2883,4415,30762.0
Miscellaneous store retailers,3642,3902,3755,4148,4600,4518,4488,4504,4454,4768,4848,7213,54840.0
"Office supplies, stationery, and gift stores",1446,1477,1406,1457,1597,1611,1717,1762,1669,1832,2054,3388,21416.0
Office supplies and stationery stores,788,679,692,656,697,725,775,811,795,820,803,943,9184.0
"Gift, novelty, and souvenir stores",658,798,714,801,900,886,942,951,874,1012,1251,2445,12232.0
Used merchandise stores,371,402,419,393,435,519,443,532,523,483,465,582,5567.0
Nonstore retailers,6860,6059,6297,6022,5803,5761,5834,5830,6334,7275,7725,8701,78501.0
Electronic shopping and mail-order houses,2692,2285,2484,2506,2483,2602,2665,2673,2932,3436,3922,4530,35210.0
Fuel dealers,1916,1627,1537,1341,1163,1016,969,1005,1150,1431,1532,1978,16665.0
Food services and drinking places,15693,15835,16848,16494,17648,16814,17304,17888,16459,17668,16723,17491,202865.0
Drinking places,1049,1026,1074,1031,1047,986,1015,1021,958,1041,999,1034,12281.0
Restaurants and other eating places,13325,13474,14346,14065,15077,14384,14875,15381,14086,15138,14323,14994,173468.0
Full service restaurants,6887,6937,7245,7000,7532,6997,7272,7535,6921,7439,7114,7329,86208.0
Limited service eating places,6438,6537,7101,7065,7545,7387,7603,7846,7165,7699,7209,7665,87260.0
